ID,Name,Sprite,Shiny Sprite,Hidden Ability
1,Bulbasaur,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0001_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0001_000_mf_n_00000000_f_r.png""",Chlorophyll
2,Ivysaur,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0002_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0002_000_mf_n_00000000_f_r.png""",Chlorophyll
3,Venusaur,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0003_000_md_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0003_000_md_n_00000000_f_r.png""",Chlorophyll
3_m,Venusaur ♂,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0003_000_md_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0003_000_md_n_00000000_f_r.png""",
3_w,Venusaur ♀,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0003_000_fd_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0003_000_fd_n_00000000_f_r.png""",
3_mega,Mega Venusaur,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0003_001_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0003_001_mf_n_00000000_f_r.png""",
3_gmax,Gmax Venusaur,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0003_000_mf_g_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0003_000_mf_g_00000000_f_r.png""",
4,Charmander,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0004_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0004_000_mf_n_00000000_f_r.png""",Solar Power
5,Charmeleon,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0005_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0005_000_mf_n_00000000_f_r.png""",Solar Power
6,Charizard,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0006_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0006_000_mf_n_00000000_f_r.png""",Solar Power
6_mega_x,Mega Charizard X,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0006_001_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0006_001_mf_n_00000000_f_r.png""",
6_mega_y,Mega Charizard Y,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0006_002_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0006_002_mf_n_00000000_f_r.png""",
6_gmax,Gmax Charizard,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0006_000_mf_g_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0006_000_mf_g_00000000_f_r.png""",
7,Squirtle,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0007_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0007_000_mf_n_00000000_f_r.png""",Rain Dish
8,Wartortle,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0008_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0008_000_mf_n_00000000_f_r.png""",Rain Dish
9,Blastoise,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0009_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0009_000_mf_n_00000000_f_r.png""",Rain Dish
9_mega,Mega Blastoise,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0009_001_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0009_001_mf_n_00000000_f_r.png""",
9_gmax,Gmax Blastoise,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0009_000_mf_g_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0009_000_mf_g_00000000_f_r.png""",
10,Caterpie,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0010_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0010_000_mf_n_00000000_f_r.png""",Run Away
11,Metapod,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0011_000_mf_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0011_000_mf_n_00000000_f_r.png""",
12,Butterfree,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0012_000_md_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0012_000_md_n_00000000_f_r.png""",Tinted Lens
12_m,Butterfree ♂,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0012_000_md_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0012_000_md_n_00000000_f_r.png""",
12_w,Butterfree ♀,"""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0012_000_fd_n_00000000_f_n.png""","""https://projectpokemon.org/images/sprites-models/homeimg/poke_capture_0012_000_fd_n_00000000_f_r.png""",
